Times,Data
0.0,0.0
1.0,0.0
2.0,6.427
3.0,13.007
4.0,20.505
5.0,28.769
6.0,37.644
7.0,46.519
8.0,56.007
9.0,65.341
10.0,74.676
11.0,84.469
12.0,93.957
13.0,103.444
14.0,113.238
15.0,132.519
16.0,142.466
17.0,152.259
18.0,162.053
19.0,171.999
